title,year,rating,metascore,votes,gross,director,actors,runtime,genre,description
The Shawshank Redemption,(1994),9.3,81        ,2650954,2650954,"Director:
Frank Darabont","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",142 min,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Dark Knight,(2008),9.0,84        ,2623111,2623111,"Director:
Christopher Nolan","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",152 min,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Inception,(2010),8.8,74        ,2324885,2324885,"Director:
Christopher Nolan","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",148 min,"Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Fight Club,(1999),8.8,66        ,2096127,2096127,"Director:
David Fincher","['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",139 min,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Game of Thrones,(2011–2019),9.2,,2068119,2068119,"Stars:
Emilia Clarke, 
Peter Dinklage, 
Kit Harington, 
Lena Headey","['Peter Dinklage', 'Kit Harington', 'Lena Headey']",57 min,"Action, Adventure, Drama","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
Forrest Gump,(1994),8.8,82        ,2053183,2053183,"Director:
Robert Zemeckis","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",142 min,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Pulp Fiction,(1994),8.9,94        ,2029241,2029241,"Director:
Quentin Tarantino","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",154 min,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Matrix,(1999),8.7,73        ,1895469,1895469,"Directors:
Lana Wachowski, 
Lilly Wachowski","['Lilly Wachowski', 'Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",136 min,"Action, Sci-Fi","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92        ,1854047,1854047,"Director:
Peter Jackson","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",178 min,"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Breaking Bad,(2008–2013),9.5,,1845998,1845998,"Stars:
Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt","['Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",49 min,"Crime, Drama, Thriller",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
The Lord of the Rings: The Return of the King,(2003),9.0,94        ,1826875,1826875,"Director:
Peter Jackson","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",201 min,"Action, Adventure, Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Interstellar,(2014),8.6,74        ,1795342,1795342,"Director:
Christopher Nolan","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",169 min,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
